Date,Up
4/6/2018,-317.484
4/7/2018,-310.785
4/8/2018,-303.663
4/9/2018,-305.563
4/10/2018,-305.603
4/11/2018,-316.627
4/12/2018,-306.399
4/13/2018,-308.014
4/14/2018,-313.043
4/15/2018,-310.848
4/16/2018,-315.998
4/17/2018,-304.173
4/18/2018,-305.272
4/19/2018,-298.881
4/20/2018,-311.79
4/21/2018,-307.455
4/22/2018,-297.308
4/23/2018,-310.268
4/24/2018,-309.043
4/25/2018,-308.894
4/26/2018,-313.161
4/27/2018,-313.957
4/28/2018,-316.372
4/29/2018,-309.618
4/30/2018,-309.514
5/1/2018,-318.319
5/2/2018,-322.176
5/3/2018,-312.777
5/4/2018,-316.376
5/5/2018,-307.987
5/6/2018,-314.564
5/7/2018,-303.665
5/8/2018,-324.717
5/9/2018,-316.957
5/10/2018,-315.826
5/11/2018,-320.162
5/12/2018,-321.385
5/13/2018,-327.882
5/14/2018,-317.131
5/15/2018,-312.196
5/16/2018,-330.854
5/17/2018,-318.043
5/18/2018,-313.685
5/19/2018,-314.722
5/20/2018,-318.504
5/21/2018,-321.519
5/22/2018,-330.688
5/23/2018,-324.103
5/24/2018,-326.732
5/25/2018,-311.043
5/26/2018,-325.124
5/27/2018,-318.933
5/28/2018,-309.333
5/29/2018,-331.378
5/30/2018,-319.802
5/31/2018,-330.309
6/1/2018,-332.277
6/2/2018,-339.986
6/3/2018,-322.514
6/4/2018,-326.452
6/5/2018,-334.159
6/6/2018,-313.844
6/7/2018,-328.934
6/8/2018,-326.491
6/9/2018,-350.35
6/10/2018,-324.239
6/11/2018,-319.313
6/12/2018,-330.344
6/13/2018,-311.082
6/14/2018,-313.046
6/15/2018,-337.175
6/16/2018,-331.569
6/17/2018,-310.074
6/18/2018,-331.032
6/19/2018,-326.859
6/20/2018,-333.793
6/21/2018,-326.391
6/22/2018,-329.364
6/23/2018,-333.386
6/24/2018,-330.402
6/25/2018,-336.61
6/26/2018,-339.37
6/27/2018,-340.22
6/28/2018,-344.039
6/29/2018,-338.986
6/30/2018,-331.306
7/1/2018,-342.324
